source,target,type
acacia_planks,acacia_boat,minecraft:crafting_shaped
acacia_planks,acacia_button,minecraft:crafting_shapeless
chest,acacia_chest_boat,minecraft:crafting_shapeless
acacia_boat,acacia_chest_boat,minecraft:crafting_shapeless
acacia_planks,acacia_door,minecraft:crafting_shaped
stick,acacia_fence,minecraft:crafting_shaped
acacia_planks,acacia_fence,minecraft:crafting_shaped
stick,acacia_fence_gate,minecraft:crafting_shaped
acacia_planks,acacia_fence_gate,minecraft:crafting_shaped
stripped_acacia_log,acacia_hanging_sign,minecraft:crafting_shaped
iron_chain,acacia_hanging_sign,minecraft:crafting_shaped
acacia_logs,acacia_planks,minecraft:crafting_shapeless
acacia_planks,acacia_pressure_plate,minecraft:crafting_shaped
stripped_acacia_log,acacia_shelf,minecraft:crafting_shaped
acacia_planks,acacia_sign,minecraft:crafting_shaped
stick,acacia_sign,minecraft:crafting_shaped
acacia_planks,acacia_slab,minecraft:crafting_shaped
acacia_planks,acacia_stairs,minecraft:crafting_shaped
acacia_planks,acacia_trapdoor,minecraft:crafting_shaped
acacia_log,acacia_wood,minecraft:crafting_shaped
redstone_torch,activator_rail,minecraft:crafting_shaped
stick,activator_rail,minecraft:crafting_shaped
iron_ingot,activator_rail,minecraft:crafting_shaped
amethyst_shard,amethyst_block,minecraft:crafting_shaped
diorite,andesite,minecraft:crafting_shapeless
cobblestone,andesite,minecraft:crafting_shapeless
andesite,andesite_slab,minecraft:crafting_shaped
andesite,andesite_slab,minecraft:stonecutting
andesite,andesite_stairs,minecraft:crafting_shaped
andesite,andesite_stairs,minecraft:stonecutting
andesite,andesite_wall,minecraft:crafting_shaped
andesite,andesite_wall,minecraft:stonecutting
iron_block,anvil,minecraft:crafting_shaped
iron_ingot,anvil,minecraft:crafting_shaped
stick,armor_stand,minecraft:crafting_shaped
smooth_stone_slab,armor_stand,minecraft:crafting_shaped
stick,arrow,minecraft:crafting_shaped
flint,arrow,minecraft:crafting_shaped
feather,arrow,minecraft:crafting_shaped
potato,baked_potato,minecraft:smelting
potato,baked_potato,minecraft:campfire_cooking
potato,baked_potato,minecraft:smoking
bamboo,bamboo_block,minecraft:crafting_shapeless
bamboo_planks,bamboo_button,minecraft:crafting_shapeless
chest,bamboo_chest_raft,minecraft:crafting_shapeless
bamboo_raft,bamboo_chest_raft,minecraft:crafting_shapeless
bamboo_planks,bamboo_door,minecraft:crafting_shaped
stick,bamboo_fence,minecraft:crafting_shaped
bamboo_planks,bamboo_fence,minecraft:crafting_shaped
stick,bamboo_fence_gate,minecraft:crafting_shaped
bamboo_planks,bamboo_fence_gate,minecraft:crafting_shaped
stripped_bamboo_block,bamboo_hanging_sign,minecraft:crafting_shaped
iron_chain,bamboo_hanging_sign,minecraft:crafting_shaped
bamboo_slab,bamboo_mosaic,minecraft:crafting_shaped
bamboo_mosaic,bamboo_mosaic_slab,minecraft:crafting_shaped
bamboo_mosaic,bamboo_mosaic_stairs,minecraft:crafting_shaped
bamboo_blocks,bamboo_planks,minecraft:crafting_shapeless
bamboo_planks,bamboo_pressure_plate,minecraft:crafting_shaped
bamboo_planks,bamboo_raft,minecraft:crafting_shaped
stripped_bamboo_block,bamboo_shelf,minecraft:crafting_shaped
bamboo_planks,bamboo_sign,minecraft:crafting_shaped
stick,bamboo_sign,minecraft:crafting_shaped
bamboo_planks,bamboo_slab,minecraft:crafting_shaped
bamboo_planks,bamboo_stairs,minecraft:crafting_shaped
bamboo_planks,bamboo_trapdoor,minecraft:crafting_shaped
planks,barrel,minecraft:crafting_shaped
wooden_slabs,barrel,minecraft:crafting_shaped
glass,beacon,minecraft:crafting_shaped
obsidian,beacon,minecraft:crafting_shaped
nether_star,beacon,minecraft:crafting_shaped
honeycomb,beehive,minecraft:crafting_shaped
planks,beehive,minecraft:crafting_shaped
bowl,beetroot_soup,minecraft:crafting_shapeless
beetroot,beetroot_soup,minecraft:crafting_shapeless
birch_planks,birch_boat,minecraft:crafting_shaped
birch_planks,birch_button,minecraft:crafting_shapeless
chest,birch_chest_boat,minecraft:crafting_shapeless
birch_boat,birch_chest_boat,minecraft:crafting_shapeless
birch_planks,birch_door,minecraft:crafting_shaped
stick,birch_fence,minecraft:crafting_shaped
birch_planks,birch_fence,minecraft:crafting_shaped
stick,birch_fence_gate,minecraft:crafting_shaped
birch_planks,birch_fence_gate,minecraft:crafting_shaped
stripped_birch_log,birch_hanging_sign,minecraft:crafting_shaped
iron_chain,birch_hanging_sign,minecraft:crafting_shaped
birch_logs,birch_planks,minecraft:crafting_shapeless
birch_planks,birch_pressure_plate,minecraft:crafting_shaped
stripped_birch_log,birch_shelf,minecraft:crafting_shaped
birch_planks,birch_sign,minecraft:crafting_shaped
stick,birch_sign,minecraft:crafting_shaped
birch_planks,birch_slab,minecraft:crafting_shaped
birch_planks,birch_stairs,minecraft:crafting_shaped
birch_planks,birch_trapdoor,minecraft:crafting_shaped
birch_log,birch_wood,minecraft:crafting_shaped
blackstone,blackstone_slab,minecraft:crafting_shaped
blackstone,blackstone_slab,minecraft:stonecutting
blackstone,blackstone_stairs,minecraft:crafting_shaped
blackstone,blackstone_stairs,minecraft:stonecutting
blackstone,blackstone_wall,minecraft:crafting_shaped
blackstone,blackstone_wall,minecraft:stonecutting
black_wool,black_banner,minecraft:crafting_shaped
stick,black_banner,minecraft:crafting_shaped
black_wool,black_bed,minecraft:crafting_shaped
planks,black_bed,minecraft:crafting_shaped
candle,black_candle,minecraft:crafting_shapeless
black_dye,black_candle,minecraft:crafting_shapeless
black_wool,black_carpet,minecraft:crafting_shaped
black_dye,black_concrete_powder,minecraft:crafting_shapeless
sand,black_concrete_powder,minecraft:crafting_shapeless
gravel,black_concrete_powder,minecraft:crafting_shapeless
ink_sac,black_dye,minecraft:crafting_shapeless
wither_rose,black_dye,minecraft:crafting_shapeless
black_terracotta,black_glazed_terracotta,minecraft:smelting
black_wool,black_harness,minecraft:crafting_shaped
glass,black_harness,minecraft:crafting_shaped
leather,black_harness,minecraft:crafting_shaped
glass,black_stained_glass,minecraft:crafting_shaped
black_dye,black_stained_glass,minecraft:crafting_shaped
black_stained_glass,black_stained_glass_pane,minecraft:crafting_shaped
glass_pane,black_stained_glass_pane,minecraft:crafting_shaped
black_dye,black_stained_glass_pane,minecraft:crafting_shaped
terracotta,black_terracotta,minecraft:crafting_shaped
black_dye,black_terracotta,minecraft:crafting_shaped
smooth_stone,blast_furnace,minecraft:crafting_shaped
iron_ingot,blast_furnace,minecraft:crafting_shaped
furnace,blast_furnace,minecraft:crafting_shaped
blaze_rod,blaze_powder,minecraft:crafting_shapeless
blue_wool,blue_banner,minecraft:crafting_shaped
stick,blue_banner,minecraft:crafting_shaped
blue_wool,blue_bed,minecraft:crafting_shaped
planks,blue_bed,minecraft:crafting_shaped
candle,blue_candle,minecraft:crafting_shapeless
blue_dye,blue_candle,minecraft:crafting_shapeless
blue_wool,blue_carpet,minecraft:crafting_shaped
blue_dye,blue_concrete_powder,minecraft:crafting_shapeless
sand,blue_concrete_powder,minecraft:crafting_shapeless
gravel,blue_concrete_powder,minecraft:crafting_shapeless
lapis_lazuli,blue_dye,minecraft:crafting_shapeless
cornflower,blue_dye,minecraft:crafting_shapeless
blue_terracotta,blue_glazed_terracotta,minecraft:smelting
blue_wool,blue_harness,minecraft:crafting_shaped
glass,blue_harness,minecraft:crafting_shaped
leather,blue_harness,minecraft:crafting_shaped
packed_ice,blue_ice,minecraft:crafting_shapeless
glass,blue_stained_glass,minecraft:crafting_shaped
blue_dye,blue_stained_glass,minecraft:crafting_shaped
blue_stained_glass,blue_stained_glass_pane,minecraft:crafting_shaped
glass_pane,blue_stained_glass_pane,minecraft:crafting_shaped
blue_dye,blue_stained_glass_pane,minecraft:crafting_shaped
terracotta,blue_terracotta,minecraft:crafting_shaped
blue_dye,blue_terracotta,minecraft:crafting_shaped
diamond,bolt_armor_trim_smithing_template,minecraft:crafting_shaped
copper_block,bolt_armor_trim_smithing_template,minecraft:crafting_shaped
waxed_copper_block,bolt_armor_trim_smithing_template,minecraft:crafting_shaped
bolt_armor_trim_smithing_template,bolt_armor_trim_smithing_template,minecraft:crafting_shaped
bone_meal,bone_block,minecraft:crafting_shaped
bone,bone_meal,minecraft:crafting_shapeless
bone_block,bone_meal,minecraft:crafting_shapeless
paper,book,minecraft:crafting_shapeless
leather,book,minecraft:crafting_shapeless
planks,bookshelf,minecraft:crafting_shaped
book,bookshelf,minecraft:crafting_shaped
paper,bordure_indented_banner_pattern,minecraft:crafting_shapeless
vine,bordure_indented_banner_pattern,minecraft:crafting_shapeless
stick,bow,minecraft:crafting_shaped
string,bow,minecraft:crafting_shaped
planks,bowl,minecraft:crafting_shaped
wheat,bread,minecraft:crafting_shaped
stone_crafting_materials,brewing_stand,minecraft:crafting_shaped
blaze_rod,brewing_stand,minecraft:crafting_shaped
clay_ball,brick,minecraft:smelting
brick,bricks,minecraft:crafting_shaped
bricks,brick_slab,minecraft:crafting_shaped
bricks,brick_slab,minecraft:stonecutting
bricks,brick_stairs,minecraft:crafting_shaped
bricks,brick_stairs,minecraft:stonecutting
bricks,brick_wall,minecraft:crafting_shaped
bricks,brick_wall,minecraft:stonecutting
brown_wool,brown_banner,minecraft:crafting_shaped
stick,brown_banner,minecraft:crafting_shaped
brown_wool,brown_bed,minecraft:crafting_shaped
planks,brown_bed,minecraft:crafting_shaped
candle,brown_candle,minecraft:crafting_shapeless
brown_dye,brown_candle,minecraft:crafting_shapeless
brown_wool,brown_carpet,minecraft:crafting_shaped
brown_dye,brown_concrete_powder,minecraft:crafting_shapeless
sand,brown_concrete_powder,minecraft:crafting_shapeless
gravel,brown_concrete_powder,minecraft:crafting_shapeless
cocoa_beans,brown_dye,minecraft:crafting_shapeless
brown_terracotta,brown_glazed_terracotta,minecraft:smelting
brown_wool,brown_harness,minecraft:crafting_shaped
glass,brown_harness,minecraft:crafting_shaped
leather,brown_harness,minecraft:crafting_shaped
glass,brown_stained_glass,minecraft:crafting_shaped
brown_dye,brown_stained_glass,minecraft:crafting_shaped
brown_stained_glass,brown_stained_glass_pane,minecraft:crafting_shaped
glass_pane,brown_stained_glass_pane,minecraft:crafting_shaped
brown_dye,brown_stained_glass_pane,minecraft:crafting_shaped
terracotta,brown_terracotta,minecraft:crafting_shaped
brown_dye,brown_terracotta,minecraft:crafting_shaped
copper_ingot,brush,minecraft:crafting_shaped
stick,brush,minecraft:crafting_shaped
feather,brush,minecraft:crafting_shaped
iron_ingot,bucket,minecraft:crafting_shaped
leather,bundle,minecraft:crafting_shaped
string,bundle,minecraft:crafting_shaped
milk_bucket,cake,minecraft:crafting_shaped
sugar,cake,minecraft:crafting_shaped
wheat,cake,minecraft:crafting_shaped
eggs,cake,minecraft:crafting_shaped
amethyst_shard,calibrated_sculk_sensor,minecraft:crafting_shaped
sculk_sensor,calibrated_sculk_sensor,minecraft:crafting_shaped
coals,campfire,minecraft:crafting_shaped
logs,campfire,minecraft:crafting_shaped
stick,campfire,minecraft:crafting_shaped
honeycomb,candle,minecraft:crafting_shaped
string,candle,minecraft:crafting_shaped
fishing_rod,carrot_on_a_stick,minecraft:crafting_shaped
carrot,carrot_on_a_stick,minecraft:crafting_shaped
planks,cartography_table,minecraft:crafting_shaped
paper,cartography_table,minecraft:crafting_shaped
iron_ingot,cauldron,minecraft:crafting_shaped
logs_that_burn,charcoal,minecraft:smelting
cherry_planks,cherry_boat,minecraft:crafting_shaped
cherry_planks,cherry_button,minecraft:crafting_shapeless
chest,cherry_chest_boat,minecraft:crafting_shapeless
cherry_boat,cherry_chest_boat,minecraft:crafting_shapeless
cherry_planks,cherry_door,minecraft:crafting_shaped
stick,cherry_fence,minecraft:crafting_shaped
cherry_planks,cherry_fence,minecraft:crafting_shaped
stick,cherry_fence_gate,minecraft:crafting_shaped
cherry_planks,cherry_fence_gate,minecraft:crafting_shaped
stripped_cherry_log,cherry_hanging_sign,minecraft:crafting_shaped
iron_chain,cherry_hanging_sign,minecraft:crafting_shaped
cherry_logs,cherry_planks,minecraft:crafting_shapeless
cherry_planks,cherry_pressure_plate,minecraft:crafting_shaped
stripped_cherry_log,cherry_shelf,minecraft:crafting_shaped
cherry_planks,cherry_sign,minecraft:crafting_shaped
stick,cherry_sign,minecraft:crafting_shaped
cherry_planks,cherry_slab,minecraft:crafting_shaped
cherry_planks,cherry_stairs,minecraft:crafting_shaped
cherry_planks,cherry_trapdoor,minecraft:crafting_shaped
cherry_log,cherry_wood,minecraft:crafting_shaped
planks,chest,minecraft:crafting_shaped
chest,chest_minecart,minecraft:crafting_shapeless
minecart,chest_minecart,minecraft:crafting_shapeless
planks,chiseled_bookshelf,minecraft:crafting_shaped
wooden_slabs,chiseled_bookshelf,minecraft:crafting_shaped
cinnabar_slab,chiseled_cinnabar,minecraft:crafting_shaped
cinnabar,chiseled_cinnabar,minecraft:stonecutting
cut_copper_slab,chiseled_copper,minecraft:crafting_shaped
copper_block,chiseled_copper,minecraft:stonecutting
cut_copper,chiseled_copper,minecraft:stonecutting
cobbled_deepslate_slab,chiseled_deepslate,minecraft:crafting_shaped
cobbled_deepslate,chiseled_deepslate,minecraft:stonecutting
deepslate,chiseled_deepslate,minecraft:stonecutting
nether_brick_slab,chiseled_nether_bricks,minecraft:crafting_shaped
nether_bricks,chiseled_nether_bricks,minecraft:stonecutting
polished_blackstone_slab,chiseled_polished_blackstone,minecraft:crafting_shaped
blackstone,chiseled_polished_blackstone,minecraft:stonecutting
polished_blackstone,chiseled_polished_blackstone,minecraft:stonecutting
quartz_slab,chiseled_quartz_block,minecraft:crafting_shaped
quartz_block,chiseled_quartz_block,minecraft:stonecutting
red_sandstone_slab,chiseled_red_sandstone,minecraft:crafting_shaped
red_sandstone,chiseled_red_sandstone,minecraft:stonecutting
resin_brick_slab,chiseled_resin_bricks,minecraft:crafting_shaped
resin_bricks,chiseled_resin_bricks,minecraft:stonecutting
sandstone_slab,chiseled_sandstone,minecraft:crafting_shaped
sandstone,chiseled_sandstone,minecraft:stonecutting
stone_brick_slab,chiseled_stone_bricks,minecraft:crafting_shaped
stone_bricks,chiseled_stone_bricks,minecraft:stonecutting
stone,chiseled_stone_bricks,minecraft:stonecutting
sulfur_slab,chiseled_sulfur,minecraft:crafting_shaped
sulfur,chiseled_sulfur,minecraft:stonecutting
tuff_slab,chiseled_tuff,minecraft:crafting_shaped
tuff_brick_slab,chiseled_tuff_bricks,minecraft:crafting_shaped
polished_tuff,chiseled_tuff_bricks,minecraft:stonecutting
tuff_bricks,chiseled_tuff_bricks,minecraft:stonecutting
tuff,chiseled_tuff_bricks,minecraft:stonecutting
tuff,chiseled_tuff,minecraft:stonecutting
polished_cinnabar,cinnabar_bricks,minecraft:crafting_shaped
cinnabar,cinnabar_bricks,minecraft:stonecutting
polished_cinnabar,cinnabar_bricks,minecraft:stonecutting
cinnabar_bricks,cinnabar_brick_slab,minecraft:crafting_shaped
cinnabar_bricks,cinnabar_brick_slab,minecraft:stonecutting
cinnabar,cinnabar_brick_slab,minecraft:stonecutting
polished_cinnabar,cinnabar_brick_slab,minecraft:stonecutting
cinnabar_bricks,cinnabar_brick_stairs,minecraft:crafting_shaped
cinnabar_bricks,cinnabar_brick_stairs,minecraft:stonecutting
cinnabar,cinnabar_brick_stairs,minecraft:stonecutting
polished_cinnabar,cinnabar_brick_stairs,minecraft:stonecutting
cinnabar_bricks,cinnabar_brick_wall,minecraft:crafting_shaped
cinnabar_bricks,cinnabar_brick_wall,minecraft:stonecutting
cinnabar,cinnabar_brick_wall,minecraft:stonecutting
polished_cinnabar,cinnabar_brick_wall,minecraft:stonecutting
cinnabar,cinnabar_slab,minecraft:crafting_shaped
cinnabar,cinnabar_slab,minecraft:stonecutting
cinnabar,cinnabar_stairs,minecraft:crafting_shaped
cinnabar,cinnabar_stairs,minecraft:stonecutting
cinnabar,cinnabar_wall,minecraft:crafting_shaped
cinnabar,cinnabar_wall,minecraft:stonecutting
clay_ball,clay,minecraft:crafting_shaped
gold_ingot,clock,minecraft:crafting_shaped
redstone,clock,minecraft:crafting_shaped
coal_block,coal,minecraft:crafting_shapeless
coal,coal_block,minecraft:crafting_shaped
coal_ore,coal,minecraft:blasting
deepslate_coal_ore,coal,minecraft:blasting
coal_ore,coal,minecraft:smelting
deepslate_coal_ore,coal,minecraft:smelting
dirt,coarse_dirt,minecraft:crafting_shaped
gravel,coarse_dirt,minecraft:crafting_shaped
diamond,coast_armor_trim_smithing_template,minecraft:crafting_shaped
cobblestone,coast_armor_trim_smithing_template,minecraft:crafting_shaped
coast_armor_trim_smithing_template,coast_armor_trim_smithing_template,minecraft:crafting_shaped
deepslate,cobbled_deepslate,minecraft:stonecutting
cobbled_deepslate,cobbled_deepslate_slab,minecraft:crafting_shaped
cobbled_deepslate,cobbled_deepslate_slab,minecraft:stonecutting
deepslate,cobbled_deepslate_slab,minecraft:stonecutting
cobbled_deepslate,cobbled_deepslate_stairs,minecraft:crafting_shaped
cobbled_deepslate,cobbled_deepslate_stairs,minecraft:stonecutting
deepslate,cobbled_deepslate_stairs,minecraft:stonecutting
cobbled_deepslate,cobbled_deepslate_wall,minecraft:crafting_shaped
cobbled_deepslate,cobbled_deepslate_wall,minecraft:stonecutting
deepslate,cobbled_deepslate_wall,minecraft:stonecutting
stone,cobblestone,minecraft:stonecutting
cobblestone,cobblestone_slab,minecraft:crafting_shaped
cobblestone,cobblestone_slab,minecraft:stonecutting
stone,cobblestone_slab,minecraft:stonecutting
cobblestone,cobblestone_stairs,minecraft:crafting_shaped
cobblestone,cobblestone_stairs,minecraft:stonecutting
stone,cobblestone_stairs,minecraft:stonecutting
cobblestone,cobblestone_wall,minecraft:crafting_shaped
cobblestone,cobblestone_wall,minecraft:stonecutting
stone,cobblestone_wall,minecraft:stonecutting
redstone_torch,comparator,minecraft:crafting_shaped
stone,comparator,minecraft:crafting_shaped
quartz,comparator,minecraft:crafting_shaped
iron_ingot,compass,minecraft:crafting_shaped
redstone,compass,minecraft:crafting_shaped
wooden_slabs,composter,minecraft:crafting_shaped
nautilus_shell,conduit,minecraft:crafting_shaped
heart_of_the_sea,conduit,minecraft:crafting_shaped
beef,cooked_beef,minecraft:smelting
beef,cooked_beef,minecraft:campfire_cooking
beef,cooked_beef,minecraft:smoking
chicken,cooked_chicken,minecraft:smelting
chicken,cooked_chicken,minecraft:campfire_cooking
chicken,cooked_chicken,minecraft:smoking
cod,cooked_cod,minecraft:smelting
cod,cooked_cod,minecraft:campfire_cooking
cod,cooked_cod,minecraft:smoking
mutton,cooked_mutton,minecraft:smelting
mutton,cooked_mutton,minecraft:campfire_cooking
mutton,cooked_mutton,minecraft:smoking
porkchop,cooked_porkchop,minecraft:smelting
porkchop,cooked_porkchop,minecraft:campfire_cooking
porkchop,cooked_porkchop,minecraft:smoking
rabbit,cooked_rabbit,minecraft:smelting
rabbit,cooked_rabbit,minecraft:campfire_cooking
rabbit,cooked_rabbit,minecraft:smoking
salmon,cooked_salmon,minecraft:smelting
salmon,cooked_salmon,minecraft:campfire_cooking
salmon,cooked_salmon,minecraft:smoking
wheat,cookie,minecraft:crafting_shaped
cocoa_beans,cookie,minecraft:crafting_shaped
stick,copper_axe,minecraft:crafting_shaped
copper_tool_materials,copper_axe,minecraft:crafting_shaped
copper_ingot,copper_bars,minecraft:crafting_shaped
copper_ingot,copper_block,minecraft:crafting_shaped
copper_ingot,copper_boots,minecraft:crafting_shaped
blaze_rod,copper_bulb,minecraft:crafting_shaped
copper_block,copper_bulb,minecraft:crafting_shaped
redstone,copper_bulb,minecraft:crafting_shaped
copper_ingot,copper_chain,minecraft:crafting_shaped
copper_nugget,copper_chain,minecraft:crafting_shaped
copper_ingot,copper_chest,minecraft:crafting_shaped
chest,copper_chest,minecraft:crafting_shaped
copper_ingot,copper_chestplate,minecraft:crafting_shaped
copper_ingot,copper_door,minecraft:crafting_shaped
copper_block,copper_grate,minecraft:crafting_shaped
copper_block,copper_grate,minecraft:stonecutting
copper_ingot,copper_helmet,minecraft:crafting_shaped
stick,copper_hoe,minecraft:crafting_shaped
copper_tool_materials,copper_hoe,minecraft:crafting_shaped
copper_block,copper_ingot,minecraft:crafting_shapeless
copper_ore,copper_ingot,minecraft:blasting
deepslate_copper_ore,copper_ingot,minecraft:blasting
raw_copper,copper_ingot,minecraft:blasting
copper_nugget,copper_ingot,minecraft:crafting_shaped
copper_ore,copper_ingot,minecraft:smelting
deepslate_copper_ore,copper_ingot,minecraft:smelting
raw_copper,copper_ingot,minecraft:smelting
waxed_copper_block,copper_ingot,minecraft:crafting_shapeless
copper_torch,copper_lantern,minecraft:crafting_shaped
copper_nugget,copper_lantern,minecraft:crafting_shaped
copper_ingot,copper_leggings,minecraft:crafting_shaped
copper_ingot,copper_nugget,minecraft:crafting_shapeless
copper_pickaxe,copper_nugget,minecraft:blasting
copper_shovel,copper_nugget,minecraft:blasting
copper_axe,copper_nugget,minecraft:blasting
copper_hoe,copper_nugget,minecraft:blasting
copper_sword,copper_nugget,minecraft:blasting
copper_spear,copper_nugget,minecraft:blasting
copper_helmet,copper_nugget,minecraft:blasting
