id,version,colorGroup
#acacia_logs,,
#bamboo_blocks,,
#birch_logs,,
#cherry_logs,,
#coals,,
#copper_tool_materials,,
#crimson_stems,,
#dark_oak_logs,,
#diamond_tool_materials,,
#eggs,,
#gold_tool_materials,,
#iron_tool_materials,,
#jungle_logs,,
#leaves,,
#logs,,
#logs_that_burn,,
#mangrove_logs,,
#metal_nuggets,,
#netherite_tool_materials,,
#oak_logs,,
#pale_oak_logs,,
#planks,,
#smelts_to_glass,,
#soul_fire_base_blocks,,
#spruce_logs,,
#stone_crafting_materials,,
#stone_tool_materials,,
#warped_stems,,
#wooden_slabs,,
#wooden_tool_materials,,
#wool,,
acacia_boat,1.9,1.9-1.12
acacia_button,1.13,1.13-1.15
acacia_chest_boat,1.19,1.19+
acacia_door,1.8,pre_1_8
acacia_fence,1.8,pre_1_8
acacia_fence_gate,1.8,pre_1_8
acacia_hanging_sign,1.19.3,1.19+
acacia_log,1.7.2,pre_1_8
acacia_planks,1.7,pre_1_8
acacia_pressure_plate,1.13,1.13-1.15
acacia_shelf,1.21.9,1.19+
acacia_sign,1.14,1.13-1.15
acacia_slab,1.7,pre_1_8
acacia_stairs,1.7,pre_1_8
acacia_trapdoor,1.13,1.13-1.15
acacia_wood,1.7.2,pre_1_8
activator_rail,1.5,pre_1_8
allium,1.6.1,pre_1_8
amethyst_block,1.17,1.16-1.18
amethyst_shard,1.17,1.16-1.18
ancient_debris,1.16,1.16-1.18
andesite,1.7.4,pre_1_8
andesite_slab,1.14,1.13-1.15
andesite_stairs,1.14,1.13-1.15
andesite_wall,1.14,1.13-1.15
anvil,1.4.2,pre_1_8
apple,1.0.0,pre_1_8
armadillo_scute,1.20.5,1.19+
armor_stand,1.8,pre_1_8
arrow,1.0.0,pre_1_8
azure_bluet,1.6.1,pre_1_8
baked_potato,1.4.2,pre_1_8
bamboo,1.14,1.13-1.15
bamboo_block,1.19.3,1.19+
bamboo_button,1.19.3,1.19+
bamboo_chest_raft,1.19.3,1.19+
bamboo_door,1.19.3,1.19+
bamboo_fence,1.19.3,1.19+
bamboo_fence_gate,1.19.3,1.19+
bamboo_hanging_sign,1.19.3,1.19+
bamboo_mosaic,1.19.3,1.19+
bamboo_mosaic_slab,1.19.3,1.19+
bamboo_mosaic_stairs,1.19.3,1.19+
bamboo_planks,1.19.3,1.19+
bamboo_pressure_plate,1.19.3,1.19+
bamboo_raft,1.19.3,1.19+
bamboo_shelf,1.21.9,1.19+
bamboo_sign,1.19.3,1.19+
bamboo_slab,1.19.3,1.19+
bamboo_stairs,1.19.3,1.19+
bamboo_trapdoor,1.19.3,1.19+
barrel,1.14,1.13-1.15
basalt,1.16,1.16-1.18
beacon,1.4.2,pre_1_8
beef,1.0.0,pre_1_8
beehive,1.15,1.13-1.15
beetroot,1.9,1.9-1.12
beetroot_soup,1.9,1.9-1.12
birch_boat,1.9,1.9-1.12
birch_button,1.13,1.13-1.15
birch_chest_boat,1.19,1.19+
birch_door,1.8,pre_1_8
birch_fence,1.8,pre_1_8
birch_fence_gate,1.8,pre_1_8
birch_hanging_sign,1.19.3,1.19+
birch_log,1.0.0,pre_1_8
birch_planks,1.2.4,pre_1_8
birch_pressure_plate,1.13,1.13-1.15
birch_shelf,1.21.9,1.19+
birch_sign,1.14,1.13-1.15
birch_slab,1.3.1,pre_1_8
birch_stairs,1.3.1,pre_1_8
birch_trapdoor,1.13,1.13-1.15
birch_wood,1.3.1,pre_1_8
black_banner,1.8,pre_1_8
black_bed,1.12,1.9-1.12
black_candle,1.17,1.16-1.18
black_carpet,1.6.1,pre_1_8
black_concrete_powder,1.12,1.9-1.12
black_dye,1.14,1.13-1.15
black_glazed_terracotta,1.12,1.9-1.12
black_harness,1.21.5,1.19+
black_stained_glass,1.7.2,pre_1_8
black_stained_glass_pane,1.7.2,pre_1_8
black_terracotta,1.6.1,pre_1_8
black_wool,1.0.0,pre_1_8
blackstone,1.16,1.16-1.18
blackstone_slab,1.16,1.16-1.18
blackstone_stairs,1.16,1.16-1.18
blackstone_wall,1.16,1.16-1.18
blast_furnace,1.14,1.13-1.15
blaze_powder,1.0.0,pre_1_8
blaze_rod,1.0.0,pre_1_8
blue_banner,1.8,pre_1_8
blue_bed,1.12,1.9-1.12
blue_candle,1.17,1.16-1.18
blue_carpet,1.6.1,pre_1_8
blue_concrete_powder,1.12,1.9-1.12
blue_dye,1.14,1.13-1.15
blue_glazed_terracotta,1.12,1.9-1.12
blue_harness,1.21.5,1.19+
blue_ice,1.13,1.13-1.15
blue_orchid,1.6.1,pre_1_8
blue_stained_glass,1.7.2,pre_1_8
blue_stained_glass_pane,1.7.2,pre_1_8
blue_terracotta,1.6.1,pre_1_8
blue_wool,1.0.0,pre_1_8
bolt_armor_trim_smithing_template,1.20.5,1.19+
bone,1.0.0,pre_1_8
bone_block,1.10,1.9-1.12
bone_meal,1.0.0,pre_1_8
book,1.0.0,pre_1_8
bookshelf,1.0.0,pre_1_8
bordure_indented_banner_pattern,1.21.2,1.19+
bow,1.0.0,pre_1_8
bowl,1.0.0,pre_1_8
bread,1.0.0,pre_1_8
breeze_rod,1.20.5,1.19+
brewing_stand,1.0.0,pre_1_8
brick,1.0.0,pre_1_8
brick_slab,1.0.0,pre_1_8
brick_stairs,1.0.0,pre_1_8
brick_wall,1.14,1.13-1.15
bricks,1.0.0,pre_1_8
brown_banner,1.8,pre_1_8
brown_bed,1.12,1.9-1.12
brown_candle,1.17,1.16-1.18
brown_carpet,1.6.1,pre_1_8
brown_concrete_powder,1.12,1.9-1.12
brown_dye,1.14,1.13-1.15
brown_glazed_terracotta,1.12,1.9-1.12
brown_harness,1.21.5,1.19+
brown_mushroom,1.0.0,pre_1_8
brown_stained_glass,1.7.2,pre_1_8
brown_stained_glass_pane,1.7.2,pre_1_8
brown_terracotta,1.6.1,pre_1_8
brown_wool,1.0.0,pre_1_8
brush,1.19.4,1.19+
bucket,1.0.0,pre_1_8
bundle,1.17,1.16-1.18
cactus,1.0.0,pre_1_8
cactus_flower,1.21.5,1.19+
cake,1.0.0,pre_1_8
calibrated_sculk_sensor,1.20,1.19+
campfire,1.14,1.13-1.15
candle,1.17,1.16-1.18
carrot,1.4.2,pre_1_8
carrot_on_a_stick,1.4.2,pre_1_8
cartography_table,1.14,1.13-1.15
carved_pumpkin,1.0.0,pre_1_8
cauldron,1.0.0,pre_1_8
chainmail_boots,1.0.0,pre_1_8
chainmail_chestplate,1.0.0,pre_1_8
chainmail_helmet,1.0.0,pre_1_8
chainmail_leggings,1.0.0,pre_1_8
charcoal,1.0.0,pre_1_8
cherry_boat,1.19.4,1.19+
cherry_button,1.19.4,1.19+
cherry_chest_boat,1.19.4,1.19+
cherry_door,1.19.4,1.19+
cherry_fence,1.19.4,1.19+
cherry_fence_gate,1.19.4,1.19+
cherry_hanging_sign,1.19.4,1.19+
cherry_log,1.19.4,1.19+
cherry_planks,1.19.4,1.19+
cherry_pressure_plate,1.19.4,1.19+
cherry_shelf,1.21.9,1.19+
cherry_sign,1.19.4,1.19+
cherry_slab,1.19.4,1.19+
cherry_stairs,1.19.4,1.19+
cherry_trapdoor,1.19.4,1.19+
cherry_wood,1.19.4,1.19+
chest,1.0.0,pre_1_8
chest_minecart,1.0.0,pre_1_8
chicken,1.0.0,pre_1_8
chiseled_bookshelf,1.19.3,1.19+
chiseled_cinnabar,26.2,1.19+
chiseled_copper,1.20.3,1.19+
chiseled_deepslate,1.17,1.16-1.18
chiseled_nether_bricks,1.16,1.16-1.18
chiseled_polished_blackstone,1.16,1.16-1.18
chiseled_quartz_block,1.5,pre_1_8
chiseled_red_sandstone,1.8,pre_1_8
chiseled_resin_bricks,1.21.2,1.19+
chiseled_sandstone,1.2.4,pre_1_8
chiseled_stone_bricks,1.2,pre_1_8
chiseled_sulfur,26.2,1.19+
chiseled_tuff,1.20.3,1.19+
chiseled_tuff_bricks,1.20.3,1.19+
chorus_fruit,1.9,1.9-1.12
cinnabar,26.2,1.19+
cinnabar_brick_slab,26.2,1.19+
cinnabar_brick_stairs,26.2,1.19+
cinnabar_brick_wall,26.2,1.19+
cinnabar_bricks,26.2,1.19+
cinnabar_slab,26.2,1.19+
cinnabar_stairs,26.2,1.19+
cinnabar_wall,26.2,1.19+
clay,1.0.0,pre_1_8
clay_ball,1.0.0,pre_1_8
clock,1.0.0,pre_1_8
closed_eyeblossom,1.21.2,1.19+
coal,1.0.0,pre_1_8
coal_block,1.6.1,pre_1_8
coal_ore,1.0.0,pre_1_8
coarse_dirt,1.6.1,pre_1_8
coast_armor_trim_smithing_template,1.19.4,1.19+
cobbled_deepslate,1.17,1.16-1.18
cobbled_deepslate_slab,1.17,1.16-1.18
cobbled_deepslate_stairs,1.17,1.16-1.18
cobbled_deepslate_wall,1.17,1.16-1.18
cobblestone,1.0.0,pre_1_8
cobblestone_slab,1.0.0,pre_1_8
cobblestone_stairs,1.0.0,pre_1_8
cobblestone_wall,1.4.2,pre_1_8
cocoa_beans,1.0.0,pre_1_8
